Data,Codi Estació,Codi massa d'aigua,Massa d'aigua,UTM X,UTM Y,Variable,Profunditat mostra (m),Valor,Unitat Mesura,Fondària Pou (m),Cota del nivell piezomètric (m.s.n.m)
2015/09/10,08105-0021,16,Al·luvials del Vallès,433671,4595759,Nivell piezomètric,-,5.75,m,13.2,40.25
2015/09/10,08125-0045,16,Al·luvials del Vallès,433036,4595015,Nivell piezomètric,-,8.9,m,12,36.1
2015/09/28,08115-0031,16,Al·luvials del Vallès,435966.02,4599108.64,Nivell piezomètric (F000349NPM),-,5.67,m,7.1,56.33
2015/09/28,08125-0042,16,Al·luvials del Vallès,432585.98,4593680.65,Nivell piezomètric (F000357NPM),-,6.96,m,15.1,28.04
2015/10/15,08115-0031,16,Al·luvials del Vallès,435966.02,4599108.64,Nivell piezomètric (F000349NPM),-,4.73,m,7.1,57.27
2015/10/15,08125-0042,16,Al·luvials del Vallès,432585.98,4593680.65,Nivell piezomètric (F000357NPM),-,6.95,m,15.1,28.05
2015/11/04,08105-0021,16,Al·luvials del Vallès,433671,4595759,Nivell piezomètric,-,6.59,m,13.2,37.41
2015/11/04,08105-0021,16,Al·luvials del Vallès,433671,4595759,Nivell piezomètric,-,6.59,m,13.2,39.41
2015/11/04,08125-0045,16,Al·luvials del Vallès,433036,4595015,Nivell piezomètric,-,8.61,m,12,36.39
2015/11/11,08105-0021,16,Al·luvials del Vallès,433671,4595759,Nivell piezomètric,-,5.8,m,13.2,38.2
2015/11/11,08105-0021,16,Al·luvials del Vallès,433671,4595759,Nivell piezomètric,-,5.8,m,13.2,40.2
2015/11/11,08125-0045,16,Al·luvials del Vallès,433036,4595015,Nivell piezomètric,-,8.8,m,12,36.2
2015/11/18,08105-0021,16,Al·luvials del Vallès,433671,4595759,Nivell piezomètric,-,6.7,m,13.2,37.3
2015/11/18,08105-0021,16,Al·luvials del Vallès,433671,4595759,Nivell piezomètric,-,6.7,m,13.2,39.3
2015/11/18,08125-0045,16,Al·luvials del Vallès,433036,4595015,Nivell piezomètric,-,8.78,m,12,36.22
2015/11/25,08115-0031,16,Al·luvials del Vallès,435966.02,4599108.64,Nivell piezomètric (F000349NPM),-,5.68,m,7.1,56.32
2015/11/25,08125-0042,16,Al·luvials del Vallès,432585.98,4593680.65,Nivell piezomètric (F000357NPM),-,6.91,m,15.1,28.09
2015/11/26,08105-0021,16,Al·luvials del Vallès,433671,4595759,Nivell piezomètric,-,5.82,m,13.2,38.18
2015/11/26,08105-0021,16,Al·luvials del Vallès,433671,4595759,Nivell piezomètric,-,5.82,m,13.2,40.18
2015/11/26,08125-0045,16,Al·luvials del Vallès,433036,4595015,Nivell piezomètric,-,8.89,m,12,36.11
2015/12/22,08115-0031,16,Al·luvials del Vallès,435966.02,4599108.64,Nivell piezomètric (F000349NPM),-,5.7,m,7.1,56.3
2015/12/22,08125-0042,16,Al·luvials del Vallès,432585.98,4593680.65,Nivell piezomètric (F000357NPM),-,6.9,m,15.1,28.1
